EFIV|IVALO|68.617|27.417|148
EFET|ENONTEKIO|68.35|23.417|306
EFKT|KITTILA|67.7|24.833|196
EFSO|SODANKYLA|67.367|26.65|179
EFPE|PELLO|66.8|24|84
EFRO|ROVANIEMI|66.567|25.833|201
EFKE|KEMI-TORNIO AIRPORT|65.784|24.579|15
EFPU|PUDASJARVI|65.367|27.017|117
EFKS|KUUSAMO|65.967|29.183|263
EFHL|HAILUOTO|65.033|24.733|7
EFYL|YLIVIESKA|64.05|24.733|77
EFOU|OULU|64.933|25.367|15
EFSU|SUOMUSSALMI|64.9|29.017|224
EFKI|KAJAANI|64.283|27.683|136
EFKK|KRUUNUPYY AIRPORT|63.718|23.139|25
EFVA|VAASA AIRPORT|63.05|21.767|8
EFKA|KAUHAVA|63.1|23.033|44
EFKK|KRUUNUPYY|63.717|23.133|25
EFVI|VIITASAARI|63.083|25.867|132
EFKU|KUOPIO|63.017|27.8|102
EFHT|AHTARI|62.533|24.017|161
EFIL|ILMAJOKI|62.7|22.833|92
EFSI|SEINAJOKI|62.683|22.833|92
EFJO|JOENSUU|62.667|29.633|117
EFJY|JYVASKYLA|62.4|25.683|145
EFTP|TAMPERE/PIRKKALA|61.518|23.754|112
EFHA|HALLI|61.85|24.8|145
EFMI|MIKKELI|61.733|27.3|138
EFVR|VARKAUS|62.167|27.867|87
EFSA|SAVONLINNA|61.95|28.95|95
EFPO|PORI|61.467|21.8|17
EFLP|LAPPEENRANTA|61.05|28.2|115
EFUT|UTTI|60.9|26.933|100
EFMA|JOMALA MARIEHAMN APT|60.125|19.903|6
EFTU|TURKU|60.517|22.267|59
EFHK|HELSINKI-VANTAA|60.317|24.967|56
EFHF|HELSINKI-MALMI|60.25|25.05|28
EGPB|SUMBURGH (CAPE)|59.883|-1.3|5
EGPM|SCATSTA|60.433|-1.283|25
EGPW|UNST ISLAND|60.733|-0.817|285
EGPA|KIRKWALL AIRPORT|58.95|-2.9|26
EGOW|WOODVALE|53.583|-3.05|11
EGPL|BENBECULA ISLAND|57.467|-7.367|6
EGPO|STORNOWAY|58.217|-6.317|15
EGPR|BARRA|57.033|-7.45|3
EGPE|INVERNESS/DALCROSS|57.533|-4.05|9
EGQA|TAIN RANGE|57.817|-3.967|4
EGQK|KINLOSS|57.65|-3.567|5
EGQS|LOSSIEMOUTH|57.717|-3.317|6
EGPC|WICK|58.45|-3.083|36
EGPD|ABERDEEN/DYCE AIRPO|57.2|-2.217|69
EGPU|TIREE|56.5|-6.883|9
EGPI|ISLAY (PORT ELLEN)|55.683|-6.25|18
EGQJ|MACHRIHANISH|55.433|-5.7|10
EGEO|OBAN|56.417|-5.467|4
EGOY|WEST FREUGH|54.85|-4.95|10
EGPK|PRESTWICK(CIV/NAVY)|55.5|-4.583|20
EGEC|CAMPBELTOWN|55.433|-5.683|13
EGPF|GLASGOW AIRPORT|55.867|-4.433|8
EGRE|MAGNUS|61.617|1.3|470
EGRK|BRUCE|59.733|1.667|470
EGRL|HARDING|59.267|1.5|470
EGRM|MILLER|58.717|1.4|470
EGRO|ANDREW|58.033|1.4|470
EGRP|MUNGO|57.367|1.983|470
EGRS|MARNOCK|57.283|1.65|470
EGRV|RAVENSPURN N|54.017|1.1|470
EGRW|WEST SOLE|53.7|1.133|470
EGRI|SCHIEHALLION FPSO OI|60.35|-4.05|470
EGRF|CLAIR OIL PLATFORM|60.683|-2.533|470
EGRT|CLEETON OIL PLATFORM|54.033|0.717|470
EGRQ|PITREAVIE|56.05|-3.417|40
EGPT|PERTH/SCONE|56.433|-3.367|121
EGPT|PERTH/SCONE|56.45|-3.367|121
EGPH|EDINBURGH AIRPORT|55.95|-3.35|41
EGPN|DUNDEE|56.45|-3.017|5
EGOM|SPADEADAM|55.05|-2.55|325
EGQL|LEUCHARS|56.4|-2.867|10
EGNS|ISLE OF MAN/RONALDS|54.083|-4.633|16
EGNL|WALNEY ISLAND|54.117|-3.25|14
